Symptom,Disease
Swelling,Acute Kidney Injury
Swelling,Asthma
Swelling,Chagas Disease
Swelling,Chromoblastomycosis
Swelling,Chronic Kidney Disease (CKD)
Swelling,Contact Dermatitis
Swelling,Fascioliasis
Swelling,Filariasis
Swelling,Glomerulonephritis
Swelling,Gout
Swelling,Guinea Worm Disease
Swelling,Heart Failure
Swelling,Hydronephrosis
Swelling,Inflammation
Swelling,Joint Pain
Swelling,Liver Cirrhosis
Swelling,Loiasis
Swelling,Lymphatic Filariasis
Swelling,Mycetoma
Swelling,Nephrotic Syndrome
Swelling,Osteoarthritis
Swelling,Pinta
Swelling,Rheumatoid Arthritis
Swelling,Sickle Cell Anemia
Swelling,"Skin Infections (Bacterial, Fungal, Viral)"
Swelling,Sparganosis
Swelling,Tendinitis
Swelling,Trachoma
Swelling,Trichinellosis
Swelling,Tungiasis
Swelling,Yaws
Swelling,Cardiomyopathy
Swelling,Goiter
Swelling,Psoriatic Arthritis
Swelling,Skin Infections
Swelling,Testicular Cancer
Swelling,Yeast Infections
Runny nose,Common Cold
Runny nose,Cold
Runny nose,Measles
Sneezing,Common Cold
Sneezing,Allergies
Sneezing,Cold
Mild Fever,Common Cold
Bloating,Indigestion
Bloating,Celiac Disease
Bloating,Constipation
Bloating,Digestive Disorders
Bloating,Giardiasis
Bloating,Irritable Bowel Syndrome (IBS)
Bloating,Ovarian Cancer
Bloating,Peptic Ulcers
Bloating,Gallstones
Bloating,Weight Gain
Bloating,Diverticulitis
Bloating,Worm Infections
Abdominal Discomfort,Indigestion
Wheezing,Asthma
Wheezing,Chronic Obstructive Pulmonary Disease (COPD)
Wheezing,Respiratory Issues
Wheezing,Bronchiectasis
Wheezing,COPD (Chronic Obstructive Pulmonary Disease)
Shortness Of Breath,Asthma
Shortness Of Breath,Cardiomyopathy
Shortness Of Breath,Coronary Artery Disease
Shortness Of Breath,Emphysema
Shortness Of Breath,Hantavirus Pulmonary Syndrome
Shortness Of Breath,Heart Attack (Myocardial Infarction)
Shortness Of Breath,Heart Disease
Shortness Of Breath,Heart Failure
Shortness Of Breath,Lung Cancer
Shortness Of Breath,Pneumoconiosis
Shortness Of Breath,Pulmonary Hypertension
Shortness Of Breath,Respiratory Issues
Shortness Of Breath,Atherosclerosis
Shortness Of Breath,Hypertension
Shortness Of Breath,Anemia
Shortness Of Breath,Angina
Shortness Of Breath,Aortic Aneurysm
Shortness Of Breath,COPD (Chronic Obstructive Pulmonary Disease)
Shortness Of Breath,Myocardial Infarction (Heart Attack)
Shortness Of Breath,Pneumonia
Hard stools,Constipation
Infrequent Bowel Movement,Constipation
Difficulty sleeping,Insomnia
Restlessness,Insomnia
Restlessness,Anxiety
Restlessness,Anxiety Disorder
Weight gain,Obesity
Weight gain,Cushing's Syndrome
Weight gain,Hashimoto's Thyroiditis
Weight gain,Hypothyroidism
Weight gain,Polycystic Ovary Syndrome (PCOS)
Weight gain,Weight Gain
Lethargy,Obesity
Lethargy,Carbamoyl Phosphate Synthetase I Deficiency Disease
Lethargy,Maple Syrup Urine Disease
Itchy rash,Skin Allergy
Itchy rash,Chickenpox
Redness,Skin Allergy
Redness,Chickenpox
Redness,Contact Dermatitis
Redness,Gout
Redness,Inflammation
Redness,Rosacea
Redness,Skin Diseases
Redness,"Skin Infections (Bacterial, Fungal, Viral)"
Redness,Chronic Fatigue Syndrome
Redness,Skin Infections
Redness,Yeast Infections
Excessive worry,Anxiety
Excessive worry,Anxiety Disorder
High temperature,Fever
Body Aches,Fever
Body Aches,Influenza
Body Aches,West Nile Virus
Body Aches,Zoonotic Malaria
Body Aches,Viral Infections
Heartburn,Acidity
Heartburn,Gastroesophageal Reflux Disease (GERD)
Sour Taste,Acidity
Pimples,Acne
Pimples,Rosacea
Blackheads,Acne
Oily Skin,Acne
Enlarged hands,Acromegaly
Feet,Acromegaly
Feet,"Hand, Foot, and Mouth Disease"
Feet,Sickle Cell Anemia
Feet,Cardiomyopathy
Thickened Skin,Acromegaly
Thickened Skin,Acanthosis Nigricans
Reduced urine output,Acute Kidney Injury
Confusion,Acute Kidney Injury
Confusion,Alzheimer's Disease
Confusion,Dementia
Confusion,Epilepsy
Confusion,Hypoglycemia
Confusion,Nipah Virus Infection
Confusion,Stroke
Low Blood Pressure,Addison's Disease
Low Blood Pressure,Adrenal Insufficiency
Weight Loss,Addison's Disease
Weight Loss,Celiac Disease
Weight Loss,Crohn's Disease
Weight Loss,Graves Disease
Weight Loss,HIV/AIDS
Weight Loss,Hyperthyroidism
Weight Loss,Inflammatory Bowel Disease (IBD)
Weight Loss,Kala-azar
Weight Loss,Leishmaniasis
Weight Loss,Leukemia
Weight Loss,Liver Cancer
Weight Loss,Lymphoma
Weight Loss,Pancreatic Cancer
Weight Loss,Paracoccidioidomycosis
Weight Loss,Type 1 Diabetes
Weight Loss,"Cancer (Breast Cancer, Lung Cancer, Prostate Cancer, etc.)"
Weight Loss,Kidney Cancer
Weight Loss,Tuberculosis
Weight Loss,Weight Loss
Weight Loss,Colorectal Cancer
Weight Loss,Graves' Disease
Weight Loss,Stomach Cancer
Weight Loss,Thyroid Cancer
Weight Loss,Whipple's Disease
Weight Loss,Worm Infections
Weight Loss,Hodgkin’s Lymphoma
Muscle Weakness,Adrenal Insufficiency
Muscle Weakness,Amyotrophic Lateral Sclerosis (ALS)
Muscle Weakness,Argininemia
Muscle Weakness,Barth Syndrome
Muscle Weakness,Atherosclerosis
Muscle Weakness,Canavan Disease
Muscle Weakness,Duchenne Muscular Dystrophy
Muscle Weakness,Kearns-Sayre Syndrome
Muscle Weakness,Krabbe Disease
Muscle Weakness,Leprosy
Muscle Weakness,Leukodystrophy
Muscle Weakness,Lipid Storage Disease
Muscle Weakness,Mitochondrial Myopathy
Muscle Weakness,Multiple Sclerosis
Muscle Weakness,Muscular Dystrophy
Muscle Weakness,Myasthenia Gravis
Muscle Weakness,Neurotoxocariasis
Muscle Weakness,Polio
Muscle Weakness,Cerebral Palsy
Muscle Weakness,Spondylosis
Low Energy,Adrenal Insufficiency
Dark urine,Alkaptonuria
Dark urine,Hepatitis B
Dark urine,Hepatitis C
Dark urine,Glomerulonephritis
Stiffness,Alkaptonuria
Stiffness,Arthritis
Stiffness,Back Pain
Stiffness,Joint Pain
Stiffness,Mucopolysaccharidosis
Stiffness,Myotonia Congenita
Stiffness,Osteoarthritis
Stiffness,Rheumatoid Arthritis
Stiffness,Tendinitis
Stiffness,Tetanus
Stiffness,Parkinson's Disease
Stiffness,Psoriatic Arthritis
Stiffness,Spondylosis
Itching,Allergies
Itching,Contact Dermatitis
Itching,Loiasis
Itching,Melanoma
Itching,Psoriasis
Itching,Skin Cancer (Melanoma)
Itching,Skin Diseases
Itching,"Skin Infections (Bacterial, Fungal, Viral)"
Itching,Tungiasis
Itching,Herpes Simplex Virus (HSV)
Itching,Yeast Infections
Rashes,Allergies
Rashes,Chickenpox
Rashes,Eczema (Atopic Dermatitis)
Rashes,Langerhans Cell Histiocytosis
Rashes,Lupus
Rashes,Strongyloidiasis
Rashes,"Autoimmune Diseases (e.g., Lupus)"
Rashes,Psoriatic Arthritis
Rashes,Systemic Lupus Erythematosus (SLE)
Hair loss,Alopecia
Hair loss,Thyroid Disorders
Thinning Of Scalp,Alopecia
Memory loss,Alzheimer's Disease
Memory loss,Dementia
Difficulty Thinking,Alzheimer's Disease
Abdominal pain,Amebiasis
Abdominal pain,Ascariasis
Abdominal pain,Clonorchiasis
Abdominal pain,Colorectal Cancer
Abdominal pain,Crohn's Disease
Abdominal pain,Cryptosporidiosis
Abdominal pain,Dengue Hemorrhagic Fever
Abdominal pain,Echinococcosis
Abdominal pain,Fascioliasis
Abdominal pain,Gallstones
Abdominal pain,Hepatitis A
Abdominal pain,Hepatitis B
Abdominal pain,Hookworm Infection
Abdominal pain,Hydronephrosis
Abdominal pain,Inflammatory Bowel Disease (IBD)
Abdominal pain,Liver Cancer
Abdominal pain,Mansonelliasis
Abdominal pain,Marburg Virus Disease
Abdominal pain,Neurotoxocariasis
Abdominal pain,Opistorchiasis
Abdominal pain,Pancreatic Cancer
Abdominal pain,Pancreatitis
Abdominal pain,Polycystic Kidney Disease
Abdominal pain,Porphyria
Abdominal pain,Schistosomiasis
Abdominal pain,Strongyloidiasis
Abdominal pain,Toxocariasis
Abdominal pain,Trichuriasis
Abdominal pain,Ulcerative Colitis
Abdominal pain,"Hepatitis (A, B, C)"
Abdominal pain,Autoimmune Hepatitis
Abdominal pain,Cirrhosis
Abdominal pain,Diverticulitis
Abdominal pain,Gallbladder Disease
Abdominal pain,Hepatitis
Abdominal pain,Irritable Bowel Syndrome (IBS)
Abdominal pain,Peptic Ulcers
Abdominal pain,Stomach Cancer
Abdominal pain,Urinary Tract Infection (UTI)
Abdominal pain,Whipple's Disease
Abdominal pain,Worm Infections
Abdominal pain,Crohn’s Disease
Diarrhea,Amebiasis
Diarrhea,Celiac Disease
Diarrhea,Ciguatera Poisoning
Diarrhea,Clonorchiasis
Diarrhea,Crohn's Disease
Diarrhea,Cryptosporidiosis
Diarrhea,Dihydropyrimidine Dehydrogenase Deficiency
Diarrhea,Ebola
Diarrhea,Giardiasis
Diarrhea,HIV/AIDS
Diarrhea,Hookworm Infection
Diarrhea,Inflammatory Bowel Disease (IBD)
Diarrhea,Irritable Bowel Syndrome (IBS)
Diarrhea,Schistosomiasis
Diarrhea,Strongyloidiasis
Diarrhea,Trichuriasis
Diarrhea,Ulcerative Colitis
Diarrhea,Gastroenteritis
Diarrhea,Whipple's Disease
Diarrhea,Worm Infections
Diarrhea,Crohn’s Disease
Fever,Common Cold
Fever,Amebiasis
Fever,Asparagine Synthetase Deficiency
Fever,Barth Syndrome
Fever,Bubonic Plague
Fever,Buruli Ulcer
Fever,COVID-19
Fever,Chagas Disease
Fever,Chickenpox
Fever,Chikungunya
Fever,Crimean-Congo Hemorrhagic Fever
Fever,Dengue Fever
Fever,Dengue Hemorrhagic Fever
Fever,Diphtheria
Fever,Dracunculiasis
Fever,Ebola
Fever,Ebola Virus
Fever,Fascioliasis
Fever,Filariasis
Fever,Guinea Worm Disease
Fever,HIV/AIDS
Fever,"Hand, Foot, and Mouth Disease"
Fever,Hantavirus Pulmonary Syndrome
Fever,Hendra Virus Infection
Fever,Hepatitis A
Fever,Histoplasmosis
Fever,Influenza
Fever,Kala-azar
Fever,Kawasaki Disease
Fever,Kyasanur Forest Disease
Fever,Lassa Fever
Fever,Leishmaniasis
Fever,Leptospirosis
Fever,Loiasis
Fever,Lyme Disease
Fever,Lymphatic Filariasis
Fever,Lymphoma
Fever,Malaria
Fever,Mansonelliasis
Fever,Marburg
Fever,Marburg Virus Disease
Fever,Measles
Fever,Melioidosis
Fever,Meningitis
Fever,Monkeypox
Fever,Naegleria Infection
Fever,Neurotoxocariasis
Fever,Nipah Virus Infection
Fever,Paracoccidioidomycosis
Fever,Paragonimiasis
Fever,Pneumocystis Pneumonia
Fever,Pneumonia
Fever,Pneumonic Plague
Fever,Polio
Fever,Primary Amebic Meningoencephalitis
Fever,Q Fever
Fever,Rabies
Fever,Relapsing Fever
Fever,Rickettsial Diseases
Fever,Rift Valley Fever
Fever,Rocky Mountain Spotted Fever
Fever,Septicemic Plague
Fever,Sleeping Sickness (Trypanosomiasis)
Fever,Talaromycosis
Fever,Toxocariasis
Fever,Trichinellosis
Fever,Tularemia
Fever,Typhus
Fever,West Nile Virus
Fever,Yaws
Fever,Yellow Fever
Fever,Zika Virus
Fever,Zoonotic Malaria
Fever,Leukemia
Fever,Tuberculosis
Fever,Bacterial Infections
Fever,Hodgkin's Lymphoma
Fever,Lymphadenopathy
Fever,Pancreatitis
Fever,Strep Throat
Fever,Viral Infections
Fever,Zoonotic Infections
Fever,Hodgkin’s Lymphoma
Difficulty Swallowing,Amyotrophic Lateral Sclerosis (ALS)
Difficulty Swallowing,Atherosclerosis
Difficulty Swallowing,Canavan Disease
Difficulty Swallowing,Myasthenia Gravis
Difficulty Swallowing,Niemann-Pick Disease
Difficulty Swallowing,Tetanus
Difficulty Swallowing,Goiter
Difficulty Swallowing,Thyroid Cancer
Speech Problems,Amyotrophic Lateral Sclerosis (ALS)
Speech Problems,Cleft Lip and Palate
Nervousness,Anxiety
Nervousness,Graves Disease
Rapid Breathing,Anxiety
Intellectual Disability,Argininemia
Intellectual Disability,Argininosuccinic Aciduria
Intellectual Disability,Aspartylglucosaminuria
Intellectual Disability,Down Syndrome
Intellectual Disability,Fragile X Syndrome
Intellectual Disability,Phenylketonuria (PKU)
Poor growth,Argininosuccinic Aciduria
Poor growth,Cystic Fibrosis
Poor growth,Menkes Disease
Irregular heartbeat,Arrhythmia
Irregular heartbeat,Brugada Syndrome
Palpitations,Arrhythmia
Palpitations,Rheumatic Heart Disease
Dizziness,Arrhythmia
Dizziness,Heart Attack (Myocardial Infarction)
Dizziness,Hypertension
Dizziness,Hypoglycemia
Dizziness,Nipah Virus Infection
Dizziness,Pulmonary Hypertension
Dizziness,Atherosclerosis
Dizziness,Adrenal Insufficiency
Dizziness,Angina
Dizziness,Aortic Aneurysm
Dizziness,Polycythemia Vera
Intestinal Discomfort,Ascariasis
Developmental delays,Asparagine Synthetase Deficiency
Developmental delays,Coffin-Lowry Syndrome
Developmental delays,Down Syndrome
Developmental delays,Dyggve-Melchior-Clausen Syndrome
Developmental delays,Fragile X Syndrome
Developmental delays,Pfeiffer Syndrome
Epilepsy,Asparagine Synthetase Deficiency
Growth delay,Aspartylglucosaminuria
Growth delay,Arrhythmia
Growth delay,Costello Syndrome
Chest Tightness,Asthma
Chest pain,Atherosclerosis
Chest pain,Asparagine Synthetase Deficiency
Chest pain,Back Pain
Chest pain,Brugada Syndrome
Chest pain,Cardiomyopathy
Chest pain,Coronary Artery Disease
Chest pain,Gastroesophageal Reflux Disease (GERD)
Chest pain,Heart Attack (Myocardial Infarction)
Chest pain,Heart Disease
Chest pain,Histoplasmosis
Chest pain,Hypercholesterolemia
Chest pain,Lung Cancer
Chest pain,Melioidosis
Chest pain,Paragonimiasis
Chest pain,Pneumonia
Chest pain,Pulmonary Hypertension
Chest pain,Rheumatic Heart Disease
Chest pain,Talaromycosis
Chest pain,Tuberculosis
Chest pain,Pneumocystis Pneumonia
Chest pain,Angina
Chest pain,Aortic Aneurysm
Chest pain,Dyslipidemia
Chest pain,Hyperlipidemia
Chest pain,Myocardial Infarction (Heart Attack)
High Cholesterol,Atherosclerosis
High Cholesterol,Hypercholesterolemia
Kidney Pain,Autosomal Dominant Polycystic Kidney Disease
Muscle stiffness,Back Pain
Muscle stiffness,Myotonia Congenita
Muscle stiffness,Tetanus
Difficulty Moving,Back Pain
Difficulty Moving,Asthma
Delayed Growth,Barth Syndrome
Enlarged organs,Arrhythmia
Enlarged organs,Mucolipidosis
Low Blood Sugar,Arrhythmia
Growth Delays,Arrhythmia
Vision loss,Arthritis
Vision loss,Diabetic Retinopathy
Difficulty Focusing,Arthritis
Seizures,Ascariasis
Seizures,Canavan Disease
Seizures,Cysticercosis
Seizures,Epilepsy
Seizures,Menkes Disease
Seizures,Miller-Dieker Syndrome
Seizures,Mowat-Wilson Syndrome
Seizures,Multiple Sulfatase Deficiency
Seizures,Rett Syndrome
Seizures,Tay-Sachs Disease
Seizures,Brain Tumors
Skin Rash,Ascariasis
Skin Rash,Aspartylglucosaminuria
Skin Rash,Dengue Fever
Skin Rash,Kawasaki Disease
Skin Rash,Langerhans Cell Histiocytosis
Skin Rash,Lupus
Skin Rash,Measles
Skin Rash,Strongyloidiasis
Skin Rash,"Autoimmune Diseases (e.g., Lupus)"
Skin Rash,Psoriatic Arthritis
Skin Rash,Systemic Lupus Erythematosus (SLE)
Skin Rash,Zoonotic Infections
Hearing Loss,Ascariasis
Hearing Loss,Mitochondrial Myopathy
Hearing Loss,Ear Infections
Hearing Loss,Meniere's Disease
Hearing Loss,Tinnitus
Cough,Asparagine Synthetase Deficiency
Cough,Back Pain
Cough,COVID-19
Cough,Cough
Cough,Cystic Fibrosis
Cough,Emphysema
Cough,Histoplasmosis
Cough,Lassa Fever
Cough,Lung Cancer
Cough,Measles
Cough,Melioidosis
Cough,Neurotoxocariasis
Cough,Paracoccidioidomycosis
Cough,Paragonimiasis
Cough,Pneumoconiosis
Cough,Pneumocystis Pneumonia
Cough,Pneumonia
Cough,Pneumonic Plague
Cough,Primary Ciliary Dyskinesia
Cough,Respiratory Issues
Cough,Strongyloidiasis
Cough,Toxocariasis
Cough,Tuberculosis
Cough,Tularemia
Cough,Asthma
Cough,Bronchiectasis
Cough,COPD (Chronic Obstructive Pulmonary Disease)
Cough,Viral Infections
Small stature,Aspartylglucosaminuria
Sensitivity To Sunlight,Aspartylglucosaminuria
Pain,Arthritis
Pain,Alkaptonuria
Pain,Amebiasis
Pain,Ascariasis
Pain,Atherosclerosis
Pain,Autosomal Dominant Polycystic Kidney Disease
Pain,Asparagine Synthetase Deficiency
Pain,Asthma
Pain,Back Pain
Pain,Barth Syndrome
Pain,Brugada Syndrome
Pain,Buruli Ulcer
Pain,Cardiomyopathy
Pain,Chikungunya
Pain,Ciguatera Poisoning
Pain,Clonorchiasis
Pain,Colorectal Cancer
Pain,Coronary Artery Disease
Pain,Crimean-Congo Hemorrhagic Fever
Pain,Crohn's Disease
Pain,Cryptosporidiosis
Pain,Cysticercosis
Pain,Dengue Fever
Pain,Dengue Hemorrhagic Fever
Pain,Dracunculiasis
Pain,Echinococcosis
Pain,Endometriosis
Pain,Fascioliasis
Pain,Fibromyalgia
Pain,Gallstones
Pain,Gastroesophageal Reflux Disease (GERD)
Pain,Gout
Pain,Guinea Worm Disease
Pain,Heart Attack (Myocardial Infarction)
Pain,Heart Disease
Pain,Hemochromatosis
Pain,Hepatitis A
Pain,Hepatitis B
Pain,Histoplasmosis
Pain,Hookworm Infection
Pain,Hydronephrosis
Pain,Hypercholesterolemia
Pain,Inflammation
Pain,Inflammatory Bowel Disease (IBD)
Pain,Joint Pain
Pain,Kidney Cancer
Pain,Kidney Stones
Pain,Langerhans Cell Histiocytosis
Pain,Lassa Fever
Pain,Leptospirosis
Pain,Liver Cancer
Pain,Loiasis
Pain,Lung Cancer
Pain,Lupus
Pain,Mansonelliasis
Pain,Marburg
Pain,Marburg Virus Disease
Pain,Melioidosis
Pain,Mycetoma
Pain,Neurotoxocariasis
Pain,Opistorchiasis
Pain,Osteoarthritis
Pain,Osteopetrosis
Pain,Ovarian Cancer
Pain,Pancreatic Cancer
Pain,Pancreatitis
Pain,Paragonimiasis
Pain,Peptic Ulcers
Pain,Peripheral Artery Disease
Pain,Pinta
Pain,Pneumonia
Pain,Polycystic Kidney Disease
Pain,Porphyria
Pain,Prostate Cancer
Pain,Pulmonary Hypertension
Pain,Q Fever
Pain,Rheumatic Heart Disease
Pain,Rheumatoid Arthritis
Pain,Rift Valley Fever
Pain,Rocky Mountain Spotted Fever
Pain,Schistosomiasis
Pain,Scoliosis
Pain,Sickle Cell Anemia
Pain,Sjogren's Syndrome
Pain,Sparganosis
Pain,Strongyloidiasis
Pain,Talaromycosis
Pain,Tendinitis
Pain,Toxocariasis
Pain,Toxoplasmosis
Pain,Trichinellosis
Pain,Trichuriasis
Pain,Tuberculosis
Pain,Ulcerative Colitis
Pain,Urinary Tract Infections (UTIs)
Pain,Yaws
Pain,Zika Virus
Pain,"Autoimmune Diseases (e.g., Lupus)"
Pain,"Cancer (Breast Cancer, Lung Cancer, Prostate Cancer, etc.)"
Pain,Chronic Fatigue Syndrome
Pain,"Hepatitis (A, B, C)"
Pain,Malaria
Pain,Pneumocystis Pneumonia
Pain,Angina
Pain,Aortic Aneurysm
Pain,Autoimmune Hepatitis
Pain,Bladder Cancer
Pain,Chronic Sinusitis
Pain,Cirrhosis
Pain,Cystitis
Pain,Diabetic Neuropathy
Pain,Diverticulitis
Pain,Dyslipidemia
Pain,Ear Infections
Pain,Gallbladder Disease
Pain,Glaucoma
Pain,Hepatitis
Pain,Herpes Simplex Virus (HSV)
Pain,Hidradenitis Suppurativa
Pain,Hyperlipidemia
Pain,Irritable Bowel Syndrome (IBS)
Pain,Menstrual Disorders
Pain,Multiple Myeloma
Pain,Myocardial Infarction (Heart Attack)
Pain,Osteoporosis
Pain,Psoriatic Arthritis
Pain,Sciatica
Pain,Sinusitis
Pain,Skin Infections
Pain,Spinal Cord Injury
Pain,Spondylosis
Pain,Stomach Cancer
Pain,Systemic Lupus Erythematosus (SLE)
Pain,Testicular Cancer
Pain,Urinary Tract Infection (UTI)
Pain,Varicose Veins
Pain,Whipple's Disease
Pain,Worm Infections
Pain,Crohn’s Disease
Breathing,Anxiety
Breathing,Atherosclerosis
Breathing,COVID-19
Breathing,Diphtheria
Breathing,Guillain-Barre Syndrome
Breathing,Histoplasmosis
Breathing,Muscular Dystrophy
Breathing,Pitt-Hopkins Syndrome
Breathing,Pneumocystis Pneumonia
Breathing,Pneumonia
Breathing,Rheumatic Heart Disease
Breathing,Talaromycosis
Breathing,Cystic Fibrosis
Breathing,Asthma
Breathing,Sleep Apnea
Lump in breast,Autosomal Dominant Polycystic Kidney Disease
Skin Changes,Autosomal Dominant Polycystic Kidney Disease
Skin Changes,Loeys-Dietz Syndrome
Skin Changes,Skin Cancer (Melanoma)
Nipple Discharge,Autosomal Dominant Polycystic Kidney Disease
Persistent cough,Back Pain
Persistent cough,Cystic Fibrosis
Persistent cough,Tuberculosis
Mucus Production,Back Pain
Fainting,Brugada Syndrome
Chills,Bubonic Plague
Chills,Ebola Virus
Chills,Fever
Chills,Malaria
Chills,Pneumonic Plague
Chills,Q Fever
Chills,Septicemic Plague
Chills,Yellow Fever
Chills,Zoonotic Malaria
Chills,Bacterial Infections
Chills,Zoonotic Infections
Swollen Lymph Nodes,Bubonic Plague
Swollen Lymph Nodes,HIV/AIDS
Swollen Lymph Nodes,Kawasaki Disease
Swollen Lymph Nodes,Langerhans Cell Histiocytosis
Swollen Lymph Nodes,Lymphoma
Swollen Lymph Nodes,Monkeypox
Swollen Lymph Nodes,Onchocerciasis (River Blindness)
Swollen Lymph Nodes,Pneumonic Plague
Swollen Lymph Nodes,Septicemic Plague
Swollen Lymph Nodes,Sleeping Sickness (Trypanosomiasis)
Swollen Lymph Nodes,Tularemia
Swollen Lymph Nodes,Hodgkin's Lymphoma
Swollen Lymph Nodes,Lymphadenopathy
Swollen Lymph Nodes,Strep Throat
Swollen Lymph Nodes,Hodgkin’s Lymphoma
Skin ulcers,Buruli Ulcer
Skin ulcers,Leishmaniasis
Skin ulcers,Mycetoma
Skin ulcers,Yaws
Difficulty Breathing,COVID-19
Difficulty Breathing,Diphtheria
Difficulty Breathing,Guillain-Barre Syndrome
Difficulty Breathing,Histoplasmosis
Difficulty Breathing,Pneumocystis Pneumonia
Difficulty Breathing,Pneumonia
Difficulty Breathing,Rheumatic Heart Disease
Difficulty Breathing,Talaromycosis
Difficulty Breathing,Cystic Fibrosis
Difficulty Breathing,Asthma
