रोग,हिंदी नाम,मराठी नाम,लक्षण,निदान एवं परीक्षण,लक्षण गंभीरता,उपचार की अवधि,चिकित्सा इतिहास,वर्तमान दवाएँ,जोखिम कारक,पर्यावरणीय कारक,नींद के पैटर्न,तनाव का स्तर,शारीरिक गतिविधि का स्तर,पारिवारिक इतिहास,आहार संबंधी आदतें,एलर्जी (खाद्य/पर्यावरण),मौसमी बदलाव,आयु समूह,लिंग,व्यवसाय और जीवनशैली,सांस्कृतिक प्राथमिकताएँ,हर्बल/वैकल्पिक उपचार,आयुर्वेदिक जड़ी बूटियाँ,सूत्रीकरण,दोष,संविधान/प्रकृति,आहार और जीवनशैली संबंधी सिफारिशें,योग और भौतिक चिकित्सा,चिकित्सा हस्तक्षेप,रोकथाम,रोग का निदान,जटिलताओं,रोगी की सिफारिशें
मोटापा,मोट��पा,",स्थूलत� ,लठ्ठपणा","वजन बढ़ना, सुस्ती","बीएमआई, रक्त परीक्षण, कमर से कूल्हे का अनुपात",मध्यम से गंभीर,"परिवर्तनशील, दीर्घकालिक","मधुमेह, उच्च रक्तचाप",वजन घटाने की दवाएं,"अधिक खाना, गतिहीन जीवनशैली","अधिक खाना, गतिहीन जीवनशैली",अनियमित नींद,उच्च तनाव,निम्न से मध्यम,मोटापे का पारिवारिक इतिहास,"उच्च कैलोरी, कम पोषक तत्व",कोई नहीं,सभी मौसम,30-50 वर्ष,दोनों लिंग,गतिहीन जीवनशैली,"कम वसा, कम चीनी पसंद","हरी चाय, गार्सिनिया कैम्बोजिया","गुग्गुल, त्रिफला","गुग्गुलु (500 मिलीग्राम), गर्म पानी (200 मिली)",कफ,कफ,भारी और तैलीय खाद्य पदार्थों से बचें; व्यायाम पर ध्यान दें; हल्का भोजन करें।,"सूर्य नमस्कार, पैदल यात्रा",वजन घटाने की दवाएं,"व्यायाम, आहार नियंत्रण","दीर्घकालिक, प्रबंधनीय","हृदय रोग, मधुमेह","व्यायाम, संतुलित आहार"
त्वचा एलर्जी,त्वचा एलर्जी,त्वचा एलर्जी,"खुजलीदार दाने, लालिमा","त्वचा परीक्षण, रक्त परीक्षण",मध्यम से गंभीर,1-2 सप्ताह,"अस्थमा, एक्जिमा, हे फीवर","एंटीहिस्टामाइन, सामयिक क्रीम","एलर्जी, आनुवंशिकी","धूल, पराग, रसायन",खराब नींद,उच्च तनाव,कम,एलर्जी का पारिवारिक इतिहास,"उच्च प्रोटीन, कम डेयरी","धूल, पराग","सर्दी, वसंत",सभी उम्र,दोनों लिंग,एलर्जी के संपर्क में आना,सुगंधित उत्पादों से बचें,"एलोवेरा, कैमोमाइल","नीम, तुलसी","एलोवेरा जेल (ताजा, 2 चम्मच)",पित्त,पित्त,एलर्जी से बचें; ढीले कपड़े पहनें; ठंडे खाद्य पदार्थों का सेवन करें।,"अनुलोम विलोम, प्राणायाम","एंटीहिस्टामाइन, स्टेरॉयड",एलर्जी से बचें,आमतौर पर हल्का,"एक्जिमा, दाने","ट्रिगर्स से बचें, मॉइस्चराइज़ करें"
चिंता,का 15,का 15,"अत्यधिक चिंता, बेचैनी","मनोवैज्ञानिक मूल्यांकन, रक्त परीक्षण",मध्यम से गंभीर,2-4 सप्ताह,"तनाव, आघात, अवसाद","अवसादरोधी दवाएं, बेंजोडायजेपाइन","तनाव, आघात, पारिवारिक इतिहास","अधिक काम, व्यक्तिगत मुद्दे",खराब नींद,उच्च तनाव,निम्न से मध्यम,चिंता का पारिवारिक इतिहास,"संतुलित आहार, कम कैफीन",कोई नहीं,सभी मौसम,20-40 वर्ष,अधिकतर महिला,उच्च तनाव वाली नौकरी,समग्र प्रथाओं का समर्थन करता है,"लैवेंडर तेल, अश्वगंधा","ब्राह्मी, अश्वगंधा","अश्वगंधा (1 छोटा चम्मच), तुलसी (5 पत्ते)","वात, पित्त",वात-पित्त,योग का अभ्यास करें; उत्तेजक पदार्थों से बचें; सचेतनता पर ध्यान केन्द्रित करें।,"ध्यान, गहरी साँस लेना","अवसादरोधी दवाएं, सी.बी.टी.","तनाव प्रबंधन, व्यायाम",दीर्घकालिक,"अवसाद, घबराहट के दौरे","विश्राम, चिकित्सा"
बुखार,कातिल,का मतलब,"तेज बुखार, शरीर में दर्द","शारीरिक परीक्षण, रक्त परीक्षण",हल्के से गंभीर,3-5 दिन,"वायरल संक्रमण, संक्रमण","ज्वरनाशक, तरल पदार्थ","संक्रमण, प्रतिरक्षा कमजोरी","संक्रमण, वायरल प्रकोप",अनियमित नींद,मध्यम तनाव,कम,बुखार का पारिवारिक इतिहास,संतुलित आहार,कोई नहीं,"सर्दी, मानसून",सभी उम्र,दोनों लिंग,"गतिहीन, मौसम पर निर्भर",ठंडे खाद्य पदार्थों से बचें,"अदरक, शहद","तुलसी, अदरक","धनिया के बीज (१ छोटा चम्मच), अदरक (१ ग्राम)","पित्त, कफ",पित्त,"आराम करें; हाइड्रेटेड रहें; हल्का, गर्म भोजन लें।","सूर्य नमस्कार, प्राणायाम","ज्वरनाशक, तरल पदार्थ","आराम, जलयोजन",आमतौर पर हल्का,"सेप्सिस, अंग विफलता","जलयोजन, आराम"
अम्लता,महंतिं,आम्लपित्त,"सीने में जलन, खट्टा स्वाद, मतली","एंडोस्कोपी, पीएच निगरानी",हल्के से मध्यम,1-3 दिन,"खराब आहार, तनाव, मसालेदार भोजन","एंटासिड, प्रोटॉन पंप अवरोधक","मसालेदार भोजन, शराब","अधिक खाना, तनाव, मसालेदार भोजन",खराब नींद,उच्च तनाव,कम,एसिड रिफ्लक्स का पारिवारिक इतिहास,"मसालेदार, तैलीय खाद्य पदार्थ","डेयरी, कैफीन",सभी मौसम,सभी उम्र,दोनों लिंग,"कार्यालय की नौकरी, उच्च तनाव",मसालेदार भोजन से बचें,"अदरक, सौंफ़","अमला, अजवाइन","एलोवेरा (10 मिली), पानी (200 मिली)",पित्त,पित्त-प्रकृति,मसालेदार भोजन से बचें; खीरे जैसे ठंडे खाद्य पदार्थ खाएं।,"योगासन, प्राणायाम","एंटासिड, पीपीआई","मसालेदार भोजन, छोटे भोजन से बचें",आमतौर पर हल्का,"जीईआरडी, एसोफैगिटिस",छोटे-छोटे भोजन खाएं
मुंहासा,मुँहासे,कातिर्ति,"मुंहासे, ब्लैकहेड्स, तैलीय त्वचा","त्वचा परीक्षण, हार्मोनल परीक्षण, रक्त परीक्षण",हल्के से मध्यम,2-4 सप्ताह,"हार्मोनल असंतुलन, खराब स्वच्छता","सामयिक क्रीम, एंटीबायोटिक्स","हार्मोन, तनाव, आहार","प्रदूषण, तैलीय त्वचा",अनियमित नींद,उच्च तनाव,मध्यम,मुँहासे का पारिवारिक इतिहास,"तैलीय, उच्च चीनी वाला आहार","डेयरी, चॉकलेट",सभी मौसम,"किशोर, 20 वर्ष",दोनों लिंग,"सक्रिय, कॉलेज/किशोर जीवनशैली",चिकना भोजन से बचें,"चाय के पेड़ का तेल, एलोवेरा","नीम, हल्दी","नीम के पत्ते (5 ग्राम), पानी (10 मिली)",पित्त,पित्त-प्रकृति,तले हुए खाद्य पदार्थों से बचें; हल्दी और हरी सब्जियाँ शामिल करें।,"अनुलोम विलोम, कपालभाति","सामयिक उपचार, एंटीबायोटिक्स","त्वचा को साफ करें, ट्रिगर्स से बचें",आमतौर पर हल्का,"घाव, त्वचा संक्रमण","स्वस्थ आहार, उचित त्वचा देखभाल"
एक्रोमेगाली,एक्रोमेगाली,एक्रोमेगाली,"बढ़े हुए हाथ/पैर, मोटी त्वचा","एमआरआई, रक्त परीक्षण (जीएच स्तर)",गंभीर,दीर्घकालिक,पिट्यूटरी ग्रंथि ट्यूमर,"हार्मोन प्रतिस्थापन, सर्जरी","पिट्यूटरी ट्यूमर, आनुवंशिकी","आनुवंशिक उत्परिवर्तन, ट्यूमर",खराब नींद,मध्यम तनाव,कम,अंतःस्रावी विकारों का पारिवारिक इतिहास,"उच्च प्रोटीन, कम वसा",कोई नहीं,सभी मौसम,30-60 वर्ष,दोनों लिंग,गतिहीन जीवनशैली,प्रसंस्कृत खाद्य पदार्थों से बचें,कोई ज्ञात नहीं,"अश्वगंधा, ब्राह्मी",अश्वगंधा (3 ग्राम प्रतिदिन),"पित्त, कफ",कफ-प्रकृति,"भारी भोजन से बचें; संतुलित, पोषक तत्वों से भरपूर खाद्य पदार्थों का सेवन करें।",जोड़ों के लचीलेपन के लिए योग,"सर्जरी, दवा",नियमित जांच,दीर्घकालिक,"हृदय रोग, गठिया",हार्मोन के स्तर की निगरानी करें
तीव्र किडनी की चोट,तीव्र किडनी क्षति,तीव्र मूत्रमार्ग विकार,"मूत्र उत्पादन में कमी, सूजन, भ्रम","रक्त परीक्षण, मूत्र परीक्षण",गंभीर,"भिन्न होता है, कारण पर निर्भर करता है","मधुमेह, उच्च रक्तचाप, आघात","मूत्रवर्धक, डायलिसिस","निर्जलीकरण, उच्च रक्तचाप","निर्जलीकरण, उच्च रक्तचाप",अनियमित नींद,उच्च तनाव,कम,किडनी रोग का पारिवारिक इतिहास,"कम नमक, अधिक पानी का सेवन",कोई नहीं,सभी मौसम,सभी उम्र,दोनों लिंग,"उच्च जोखिम वाली नौकरियाँ (जैसे, निर्माण)",ताजा खाद्य पदार्थों का पक्ष लेता है,"बिछुआ पत्ता, सिंहपर्णी","पुनर्नवा, गोक्षुरा","पुनर्नवा (3 ग्राम), गर्म पानी (200 मिली)","कफ, पित्त",कफ-पित्त,नमकीन और प्रसंस्कृत खाद्य पदार्थों से बचें; हाइड्रेटेड रहें।,"प्राणायाम, सूर्य नमस्कार","डायलिसिस, किडनी प्रत्यारोपण",नेफ्रोटॉक्सिक दवाओं से बचें,"रिकवरी संभव, डायलिसिस की आवश्यकता हो सकती है",क्रोनिक किडनी रोग,किडनी के कार्य की निगरानी करें
एडिसन रोग,एडिसन रोग,एडिसन रोग,"थकान, निम्न रक्तचाप, वजन घटना","रक्त परीक्षण, ACTH उत्तेजना",गंभीर,जिंदगी भर,"स्वप्रतिरक्षी विकार, क्षय रोग","स्टेरॉयड प्रतिस्थापन, हार्मोन थेरेपी","स्वप्रतिरक्षी रोग, तनाव","तनाव, संक्रमण",अनियमित नींद,उच्च तनाव,कम,स्वप्रतिरक्षी रोगों का पारिवारिक इतिहास,"कम सोडियम, उच्च पोटेशियम",कोई नहीं,"सर्दी, बरसात",30-60 वर्ष,दोनों लिंग,"गतिहीन जीवनशैली, चिकित्सा नौकरियाँ",ठंडे वातावरण से बचता है,"नद्यपान जड़, अश्वगंधा","अश्वगंधा, मुलेठी","मुलेठी की जड़ (2 ग्राम), गर्म पानी (200 मिली)","वात, पित्त",वात-पित्त,"नमकीन खाद्य पदार्थ शामिल करें; छोटे-छोटे, बार-बार भोजन करें।","सौम्य योग, पुनर्स्थापनात्मक अभ्यास",हार्मोन रिप्लेसमेंट थेरेपी,"तनाव से बचें, पर्याप्त आराम करें",आजीवन उपचार से प्रबंधित किया जा सकता है,अधिवृक्क संकट,हार्मोन स्तर की नियमित निगरानी
अधिवृक्क अपर्याप्तता,एड्रेनल अपर्याप्तता,अ�िवृद्धी रोग,"थकान, मांसपेशियों में कमजोरी, कम ऊर्जा","रक्त परीक्षण, ACTH उत्तेजना",गंभीर,जिंदगी भर,"स्वप्रतिरक्षी रोग, क्षय रोग","स्टेरॉयड प्रतिस्थापन, हार्मोन थेरेपी","स्वप्रतिरक्षी रोग, संक्रमण","तनाव, संक्रमण",खराब नींद,उच्च तनाव,कम,अंतःस्रावी विकारों का पारिवारिक इतिहास,"कम सोडियम, उच्च पोटेशियम",कोई नहीं,सभी मौसम,30-60 वर्ष,दोनों लिंग,"गतिहीन जीवनशैली, चिकित्सा नौकरियाँ",ठंडे वातावरण से बचता है,"अश्वगंधा, रोडियोला","अश्वगंधा, मुलेठी","अश्वगंधा (2 ग्राम), गर्म पानी (200 मिली)",वात,वात-प्रकृति,तनाव से बचें; योग और ध्यान का अभ्यास करें।,तनाव से राहत के लिए योग,हार्मोन रिप्लेसमेंट थेरेपी,तनाव प्रबंधन,दवा से प्रबंधित किया जा सकता है,अधिवृक्क संकट,नियमित दवा
अल्काप्टोन्यूरिया,अल्काप्टोन्यूरिया,अल्काप्टोन्यूरिया,"गहरे रंग का मूत्र, जोड़ों में दर्द, अकड़न",मूत्र परीक्षण (होमोजेन्टिसिक एसिड),हल्के से मध्यम,जिंदगी भर,"आनुवंशिक, चयापचय संबंधी विकार","दर्द निवारक, विटामिन सी",आनुवंशिक उत्परिवर्तन,"आनुवंशिक उत्परिवर्तन, उच्च प्रोटीन सेवन",अनियमित नींद,मध्यम तनाव,कम,चयापचय संबंधी विकारों का पारिवारिक इतिहास,"उच्च प्रोटीन, कम वसा",कोई नहीं,सभी मौसम,बचपन से वयस्क तक,दोनों लिंग,सक्रिय जीवनशैली,फेनिलएलनिन से भरपूर खाद्य पदार्थों से बचें,कोई विशिष्ट नहीं,"गुग्गुलु, अश्वगंधा","हल्दी (1/2 छोटा चम्मच), दूध (200 मिली)","वात, कफ",वात-कफ,भारी भोजन से बचें; हल्के व्यायाम करें और गर्म भोजन का सेवन करें।,"कोमल योग, संयुक्त व्यायाम","लक्षणात्मक उपचार, संयुक्त प्रतिस्थापन",कोई नहीं,"प्रगतिशील, संयुक्त क्षति के साथ",पुराने ऑस्टियोआर्थराइटिस,उच्च प्रोटीन आहार से बचें
एलर्जी,एलर्जी,एलर्जी,"छींकना, खुजली, चकत्ते","त्वचा परीक्षण, रक्त परीक्षण",मध्यम से गंभीर,"भिन्न होता है, एलर्जेन पर निर्भर करता है","अस्थमा, एक्जिमा, हे फीवर, पराग के संपर्क में आना","एंटीहिस्टामाइन, सामयिक क्रीम","पारिवारिक इतिहास, पर्यावरणीय एलर्जी","धूल, पराग, रसायन, प्रदूषण",खराब नींद,उच्च तनाव,कम,एलर्जी का पारिवारिक इतिहास,"उच्च प्रोटीन, कम डेयरी","धूल, पराग","सर्दी, वसंत",सभी उम्र,दोनों लिंग,एलर्जी के संपर्क में आना,सुगंधित उत्पादों से बचें,"स्थानीय शहद, इचिनेसिया","ब्राह्मी, अश्वगंधा","तुलसी के पत्ते (5 ग्राम), गर्म पानी (200 मिली)","वात, कफ",वात-कफ,ठंडे खाद्य पदार्थों से बचें; आहार में हर्बल चाय शामिल करें।,"प्राणायाम, श्वास व्यायाम","एंटीहिस्टामाइन, स्टेरॉयड","ट्रिगर, एयर फिल्टर से बचें",उपचार से प्रबंधित किया जा सकता है,"एनाफिलेक्सिस, अस्थमा",एलर्जेन के संपर्क से बचें
खालित्य,कातिल कातिल,गंजेपण,"बालों का झड़ना, सिर का पतला होना","खोपड़ी बायोप्सी, रक्त परीक्षण",मध्यम से गंभीर,भिन्न,"आनुवंशिक, स्वप्रतिरक्षी स्थितियाँ","सामयिक उपचार, स्टेरॉयड क्रीम","आनुवंशिकी, हार्मोनल असंतुलन","आनुवंशिक, तनाव",अनियमित नींद,उच्च तनाव,कम,बालों के झड़ने का पारिवारिक इतिहास,"संतुलित आहार, उच्च प्रोटीन",कोई नहीं,सभी मौसम,20-50 वर्ष,दोनों लिंग,तनावपूर्ण जीवन शैली,रासायनिक उपचार से बचता है,"जिनसेंग, मेथी","भृंगराज, अमला",भृंगराज तेल (आवश्यकतानुसार),पित्त,पित्त-प्रकृति,मसालेदार भोजन से बचें; हर्बल तेलों से नियमित रूप से सिर की मालिश करें।,"कोमल योग, सिर की मालिश","सामयिक स्टेरॉयड, मिनोक्सिडिल",स्वस्थ आहार,उपचार से इसे उलटा जा सकता है,"दाग, बाल पतले होना",नियमित खोपड़ी मालिश
